menu_type,n,longest_words_accuracy,C_if_top2_length_else_longest_accuracy,always_C_accuracy,top2_length_contains_correct,top3_length_contains_correct
yes_no_because,333,0.6906906906906907,0.7687687687687688,0.6606606606606606,0.8618618618618619,0.960960960960961
other,212,0.46226415094339623,0.37735849056603776,0.2971698113207547,0.6462264150943396,0.8632075471698113
guilty_not_guilty,79,0.379746835443038,0.4050632911392405,0.3037974683544304,0.569620253164557,0.7721518987341772
homicide_ladder,79,0.5063291139240507,0.5443037974683544,0.5189873417721519,0.6582278481012658,0.8987341772151899
remedy_result,71,0.49295774647887325,0.4647887323943662,0.38028169014084506,0.704225352112676,0.8028169014084507
property_label,65,0.5076923076923077,0.4307692307692308,0.24615384615384617,0.6153846153846154,0.8461538461538461
search_threshold,38,0.5789473684210527,0.631578947368421,0.42105263157894735,0.7631578947368421,0.8157894736842105
right_source,26,0.5769230769230769,0.6923076923076923,0.7307692307692307,0.8076923076923077,0.8846153846153846
inchoate_scope,24,0.7083333333333334,0.5,0.3333333333333333,0.7916666666666666,0.9583333333333334
combination_grid,18,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.4444444444444444,0.6666666666666666
