rule,all_accuracy,all_ci_low,all_ci_high,graded_accuracy,critical_accuracy,easy_accuracy
longest_set_empirical_map,0.5957671957671957,0.562962962962963,0.6264550264550265,0.667098445595855,0.6574585635359116,0.5224719101123596
longest_A/B/C_else_C,0.5830687830687831,0.5513227513227513,0.6158730158730159,0.6619170984455959,0.6519337016574586,0.5056179775280899
unique_longest_else_C,0.5661375661375662,0.5312169312169313,0.5978835978835979,0.6450777202072538,0.6519337016574586,0.4943820224719101
longest_chars,0.5650793650793651,0.5343915343915344,0.5978835978835979,0.6476683937823834,0.6408839779005525,0.4887640449438202
C_if_top2_length_else_longest,0.5597883597883598,0.5312169312169313,0.5947089947089947,0.6437823834196891,0.6464088397790055,0.4438202247191011
longest_words,0.5534391534391534,0.5185185185185185,0.5894179894179894,0.6295336787564767,0.6519337016574586,0.47191011235955055
C_if_top3_length_else_longest,0.5132275132275133,0.48148148148148145,0.5470899470899471,0.5816062176165803,0.6464088397790055,0.3707865168539326
always_C,0.4603174603174603,0.42962962962962964,0.49206349206349204,0.5168393782383419,0.574585635359116,0.3146067415730337
B_if_top2_length_else_longest,0.4497354497354497,0.4148148148148148,0.48148148148148145,0.5012953367875648,0.5193370165745856,0.4101123595505618
most_legal_terms_else_longest,0.4306878306878307,0.4,0.4624338624338624,0.48186528497409326,0.4972375690607735,0.3258426966292135
A_if_top2_length_else_longest,0.4201058201058201,0.3873015873015873,0.45396825396825397,0.4689119170984456,0.47513812154696133,0.4101123595505618
D_if_top2_length_else_longest,0.4052910052910053,0.37566137566137564,0.43915343915343913,0.44689119170984454,0.4585635359116022,0.3539325842696629
always_A,0.2306878306878307,0.20105820105820105,0.25502645502645505,0.20854922279792745,0.15469613259668508,0.34831460674157305
always_B,0.19470899470899472,0.1693121693121693,0.21904761904761905,0.19300518134715025,0.17679558011049723,0.20224719101123595
shortest_words,0.12380952380952381,0.1037037037037037,0.14708994708994708,0.08678756476683938,0.06629834254143646,0.1797752808988764
always_D,0.11428571428571428,0.09417989417989418,0.13333333333333333,0.08160621761658031,0.09392265193370165,0.1348314606741573
