outline_code,subject_digit,ab_prefix,subject,official_subtopic,level1_code,level2_code,level3_code,detail_depth,outline_path,deepest_identifier,deepest_identifier_slug,level1_label,level2_label,level3_label
31010000,3,31,Evidence,Presentation of Evidence,01,00,00,1,Presentation of Evidence,Presentation of Evidence,presentation_of_evidence,Presentation of Evidence,,
31010100,3,31,Evidence,Presentation of Evidence,01,01,00,2,Presentation of Evidence > General Provisions,General Provisions,general_provisions,Presentation of Evidence,General Provisions,
31010101,3,31,Evidence,Presentation of Evidence,01,01,01,3,Presentation of Evidence > General Provisions > Roles of judge and jury,Roles of judge and jury,roles_of_judge_and_jury,Presentation of Evidence,General Provisions,Roles of judge and jury
31010102,3,31,Evidence,Presentation of Evidence,01,01,02,3,Presentation of Evidence > General Provisions > Burden of production and burden of persuasion,Burden of production and burden of persuasion,burden_of_production_and_burden_of_persuasion,Presentation of Evidence,General Provisions,Burden of production and burden of persuasion
31010103,3,31,Evidence,Presentation of Evidence,01,01,03,3,Presentation of Evidence > General Provisions > Presumptions and inferences,Presumptions and inferences,presumptions_and_inferences,Presentation of Evidence,General Provisions,Presumptions and inferences
31010104,3,31,Evidence,Presentation of Evidence,01,01,04,3,Presentation of Evidence > General Provisions > Materiality and probative value,Materiality and probative value,materiality_and_probative_value,Presentation of Evidence,General Provisions,Materiality and probative value
31010105,3,31,Evidence,Presentation of Evidence,01,01,05,3,Presentation of Evidence > General Provisions > Offers of proof,Offers of proof,offers_of_proof,Presentation of Evidence,General Provisions,Offers of proof
31010106,3,31,Evidence,Presentation of Evidence,01,01,06,3,Presentation of Evidence > General Provisions > Judicial notice,Judicial notice,judicial_notice,Presentation of Evidence,General Provisions,Judicial notice
31010107,3,31,Evidence,Presentation of Evidence,01,01,07,3,Presentation of Evidence > General Provisions > Preliminary questions,Preliminary questions,preliminary_questions,Presentation of Evidence,General Provisions,Preliminary questions
31010108,3,31,Evidence,Presentation of Evidence,01,01,08,3,Presentation of Evidence > General Provisions > Rule of completeness,Rule of completeness,rule_of_completeness,Presentation of Evidence,General Provisions,Rule of completeness
31010200,3,31,Evidence,Presentation of Evidence,01,02,00,2,Presentation of Evidence > Objections and Motions to Strike,Objections and Motions to Strike,objections_and_motions_to_strike,Presentation of Evidence,Objections and Motions to Strike,
31010201,3,31,Evidence,Presentation of Evidence,01,02,01,3,Presentation of Evidence > Objections and Motions to Strike > Trial judge’s discretion to control order and presentation of evidence,Trial judge’s discretion to control order and presentation of evidence,trial_judges_discretion_to_control_order_and_presentation_of_evidence,Presentation of Evidence,Objections and Motions to Strike,Trial judge’s discretion to control order and presentation of evidence
31010202,3,31,Evidence,Presentation of Evidence,01,02,02,3,Presentation of Evidence > Objections and Motions to Strike > Common objections to questions,Common objections to questions,common_objections_to_questions,Presentation of Evidence,Objections and Motions to Strike,Common objections to questions
31010203,3,31,Evidence,Presentation of Evidence,01,02,03,3,Presentation of Evidence > Objections and Motions to Strike > Nonresponsive answers,Nonresponsive answers,nonresponsive_answers,Presentation of Evidence,Objections and Motions to Strike,Nonresponsive answers
31010300,3,31,Evidence,Presentation of Evidence,01,03,00,2,Presentation of Evidence > Types of Evidence,Types of Evidence,types_of_evidence,Presentation of Evidence,Types of Evidence,
31010400,3,31,Evidence,Presentation of Evidence,01,04,00,2,Presentation of Evidence > Witnesses,Witnesses,witnesses,Presentation of Evidence,Witnesses,
31010401,3,31,Evidence,Presentation of Evidence,01,04,01,3,Presentation of Evidence > Witnesses > Mode and order of witnesses,Mode and order of witnesses,mode_and_order_of_witnesses,Presentation of Evidence,Witnesses,Mode and order of witnesses
31010402,3,31,Evidence,Presentation of Evidence,01,04,02,3,Presentation of Evidence > Witnesses > Form and scope of examination,Form and scope of examination,form_and_scope_of_examination,Presentation of Evidence,Witnesses,Form and scope of examination
31010403,3,31,Evidence,Presentation of Evidence,01,04,03,3,Presentation of Evidence > Witnesses > Lay opinion testimony,Lay opinion testimony,lay_opinion_testimony,Presentation of Evidence,Witnesses,Lay opinion testimony
31010404,3,31,Evidence,Presentation of Evidence,01,04,04,3,Presentation of Evidence > Witnesses > Competency,Competency,competency,Presentation of Evidence,Witnesses,Competency
31010405,3,31,Evidence,Presentation of Evidence,01,04,05,3,Presentation of Evidence > Witnesses > Personal knowledge,Personal knowledge,personal_knowledge,Presentation of Evidence,Witnesses,Personal knowledge
31010406,3,31,Evidence,Presentation of Evidence,01,04,06,3,Presentation of Evidence > Witnesses > Truthfulness,Truthfulness,truthfulness,Presentation of Evidence,Witnesses,Truthfulness
31010407,3,31,Evidence,Presentation of Evidence,01,04,07,3,Presentation of Evidence > Witnesses > Refreshing recollection,Refreshing recollection,refreshing_recollection,Presentation of Evidence,Witnesses,Refreshing recollection
31010500,3,31,Evidence,Presentation of Evidence,01,05,00,2,Presentation of Evidence > Impeachment,Impeachment,impeachment,Presentation of Evidence,Impeachment,
31010501,3,31,Evidence,Presentation of Evidence,01,05,01,3,Presentation of Evidence > Impeachment > Use of impeachment material,Use of impeachment material,use_of_impeachment_material,Presentation of Evidence,Impeachment,Use of impeachment material
31010502,3,31,Evidence,Presentation of Evidence,01,05,02,3,Presentation of Evidence > Impeachment > Prior inconsistent statement,Prior inconsistent statement,prior_inconsistent_statement,Presentation of Evidence,Impeachment,Prior inconsistent statement
31010503,3,31,Evidence,Presentation of Evidence,01,05,03,3,Presentation of Evidence > Impeachment > Bias,Bias,bias,Presentation of Evidence,Impeachment,Bias
31010504,3,31,Evidence,Presentation of Evidence,01,05,04,3,Presentation of Evidence > Impeachment > Conviction of crime,Conviction of crime,conviction_of_crime,Presentation of Evidence,Impeachment,Conviction of crime
31010505,3,31,Evidence,Presentation of Evidence,01,05,05,3,Presentation of Evidence > Impeachment > Opinion or reputation,Opinion or reputation,opinion_or_reputation,Presentation of Evidence,Impeachment,Opinion or reputation
32020000,3,32,Evidence,Relevancy and Excluding Relevant Evidence,02,00,00,1,Relevance,Relevance,relevance,Relevance,,
32020100,3,32,Evidence,Relevancy and Excluding Relevant Evidence,02,01,00,2,Relevance > Definition,Definition,definition,Relevance,Definition,
32020200,3,32,Evidence,Relevancy and Excluding Relevant Evidence,02,02,00,2,Relevance > Laying a Foundation,Laying a Foundation,laying_a_foundation,Relevance,Laying a Foundation,
32020300,3,32,Evidence,Relevancy and Excluding Relevant Evidence,02,03,00,2,Relevance > Exclusion of Relevant Evidence,Exclusion of Relevant Evidence,exclusion_of_relevant_evidence,Relevance,Exclusion of Relevant Evidence,
32020301,3,32,Evidence,Relevancy and Excluding Relevant Evidence,02,03,01,3,Relevance > Exclusion of Relevant Evidence > Probative value,Probative value,probative_value,Relevance,Exclusion of Relevant Evidence,Probative value
32020302,3,32,Evidence,Relevancy and Excluding Relevant Evidence,02,03,02,3,"Relevance > Exclusion of Relevant Evidence > Discretionary exclusion (undue prejudice, confusion, waste of time)","Discretionary exclusion (undue prejudice, confusion, waste of time)",discretionary_exclusion_undue_prejudice_confusion_waste_of_time,Relevance,Exclusion of Relevant Evidence,"Discretionary exclusion (undue prejudice, confusion, waste of time)"
32020400,3,32,Evidence,Relevancy and Excluding Relevant Evidence,02,04,00,2,Relevance > Character Evidence,Character Evidence,character_evidence,Relevance,Character Evidence,
32020401,3,32,Evidence,Relevancy and Excluding Relevant Evidence,02,04,01,3,Relevance > Character Evidence > Forms of character evidence,Forms of character evidence,forms_of_character_evidence,Relevance,Character Evidence,Forms of character evidence
32020402,3,32,Evidence,Relevancy and Excluding Relevant Evidence,02,04,02,3,Relevance > Character Evidence > Prohibited uses of character evidence,Prohibited uses of character evidence,prohibited_uses_of_character_evidence,Relevance,Character Evidence,Prohibited uses of character evidence
32020403,3,32,Evidence,Relevancy and Excluding Relevant Evidence,02,04,03,3,Relevance > Character Evidence > Exceptions allowing character evidence,Exceptions allowing character evidence,exceptions_allowing_character_evidence,Relevance,Character Evidence,Exceptions allowing character evidence
32020404,3,32,Evidence,Relevancy and Excluding Relevant Evidence,02,04,04,3,Relevance > Character Evidence > Specific acts for noncharacter purposes,Specific acts for noncharacter purposes,specific_acts_for_noncharacter_purposes,Relevance,Character Evidence,Specific acts for noncharacter purposes
32020405,3,32,Evidence,Relevancy and Excluding Relevant Evidence,02,04,05,3,Relevance > Character Evidence > Cross-examination and rebuttal of character witnesses,Cross-examination and rebuttal of character witnesses,cross_examination_and_rebuttal_of_character_witnesses,Relevance,Character Evidence,Cross-examination and rebuttal of character witnesses
